6,8,27
7,10,22
1,24,131
5,126,34
4,9,44
124,49,2
3,32,67
8,14,19
5,60,33
120,7,25
4,26,47
7,12,22
129,46,2
3,6,66
3,49,67
6,80,27
7,124,22
4,65,48
124,44,2
4,7,44
3,62,69
121,49,2
128,48,2
124,9,18
6,110,28
5,116,34
3,5,66
5,8,33
6,9,27
3,7,66
8,10,20
3,68,66
7,78,30
5,9,33
126,48,2
3,83,66
6,7,29
120,49,2
4,6,44
8,21,21
7,84,26
6,15,27
1,4,131
126,21,5
4,16,47
3,123,66
5,15,40
127,48,2
130,25,4
124,24,3
122,47,2
1,124,131
7,129,23
6,40,30
8,67,22
8,50,22
4,133,45
1,8,131
127,39,2
7,82,28
126,7,25
4,19,44
6,18,27
3,81,66
121,20,5
4,132,49
2,4,131
6,91,27
5,44,36
121,17,5
130,46,2
1,103,131
8,42,19
4,48,47
126,50,2
4,70,45
4,8,44
5,102,36
122,19,5
4,77,44
5,93,33
4,129,46
127,47,2
5,56,44
7,11,22
7,9,22
128,32,2
8,29,23
130,10,11
5,130,35
7,50,22
6,128,29
121,8,22
6,102,28
8,16,19
6,20,30
120,25,3
120,50,2
6,130,36
3,17,67
8,11,19
3,44,68
5,107,34
4,91,49
6,119,27
7,20,22
8,89,19
6,116,27
129,47,3
5,95,42
7,117,22
2,59,131
7,125,23
5,20,37
6,114,27
120,47,2
6,103,29
4,12,44
3,63,67
4,42,51
128,47,2
4,104,49
5,11,33
3,38,67
123,51,2
6,108,32
124,45,2
7,105,23
8,87,28
5,10,33
8,15,19
123,48,2
1,30,131
125,50,2
126,47,2
4,62,47
5,65,33
7,24,23
6,69,27
4,95,50
8,12,19
6,125,34
120,24,8
1,23,131
5,36,33
4,18,44
8,106,19
123,50,3
6,23,28
3,127,66
6,27,29
5,7,35
7,119,24
3,74,66
7,8,26
127,26,5
4,60,46
3,84,66
4,23,45
127,5,68
4,11,44
7,104,23
127,30,3
4,105,44
6,11,27
4,96,48
6,10,27
7,113,23
123,45,2
8,115,19
6,56,30
8,9,21
4,93,44
4,124,45
128,46,2
127,11,14
3,61,67
3,13,67
6,72,31
5,70,36
122,50,3
4,118,49
7,99,27
2,64,131
128,45,2
1,62,131
6,105,28
4,34,51
3,43,66
1,118,131
6,12,28
8,112,21
7,60,25
1,66,131
3,16,67
120,29,2
7,52,27
122,20,4
125,37,2
123,46,3
3,54,67
4,72,48
128,5,69
121,47,2
3,77,67
3,69,67
8,103,19
2,7,131
8,13,19
124,8,22
7,55,27
4,33,47
4,92,47
7,98,26
5,39,33
8,74,20
4,46,49
8,33,19
4,84,44
8,78,24
5,16,34
2,119,131
127,43,2
5,68,33
122,15,5
8,93,20
122,46,2
4,126,44
1,73,131
4,21,45
3,131,68
3,20,66
127,15,7
7,45,22
3,118,68
6,19,28
7,61,24
6,28,27
5,59,35
2,9,131
125,48,2
7,30,24
130,44,2
6,67,27
1,19,131
4,20,45
120,48,2
7,114,22
4,57,50
3,34,69
3,85,68
8,47,20
124,50,2
6,58,29
5,90,36
3,99,66
127,25,3
8,85,19
5,64,35
4,59,46
3,110,66
7,75,25
4,51,44
2,86,131
5,114,33
4,15,46
6,22,28
124,35,4
7,41,23
122,48,2
7,5,70
121,18,7
123,24,6
8,109,20
3,112,66
6,75,27
6,21,32
3,56,66
4,130,49
7,126,25
8,111,19
6,32,28
5,55,46
8,70,19
7,89,29
8,95,22
3,76,67
7,6,42
6,134,31
5,112,34
6,120,28
122,6,31
3,101,67
120,13,8
125,10,12
3,28,66
5,113,37
8,98,25
129,23,4
6,46,27
1,74,131
7,90,27
129,20,5
3,100,66
8,20,19
6,118,27
3,45,67
1,83,131
121,48,2
5,123,34
8,105,22
1,108,131
3,134,66
3,41,67
8,96,24
8,125,28
3,111,68
4,49,45
6,44,30
3,75,69
120,11,11
6,51,32
1,11,131
5,129,38
5,133,33
6,24,31
6,131,30
4,67,44
121,46,2
8,35,21
3,29,67
3,59,66
4,85,44
123,9,19
123,14,7
3,80,67
122,17,5
3,88,66
3,36,69
6,111,29
3,42,66
1,97,131
122,51,2
5,45,34
5,120,34
6,107,29
7,102,27
8,55,21
8,114,23
5,118,42
4,47,45
3,92,66
5,21,34
3,107,68
3,52,68
7,48,25
7,22,23
7,66,28
122,11,10
122,25,5
3,15,67
6,124,35
6,42,29
1,18,131
4,119,44
127,29,4
8,46,19
3,78,66
8,25,27
126,6,31
4,131,47
6,98,28
7,76,24
4,37,46
4,74,48
129,45,2
5,27,39
5,33,34
1,72,131
5,62,33
125,46,2
8,7,27
4,134,50
7,13,22
7,39,22
7,53,23
123,19,5
5,40,33
124,5,44
5,24,34
4,107,44
5,41,35
124,21,6
3,104,70
128,34,2
1,70,131
6,70,30
5,49,34
3,115,66
6,13,27
1,64,131
123,8,22
7,71,23
4,38,48
7,74,22
7,120,28
122,49,2
7,80,23
2,41,131
5,110,39
5,53,33
6,65,27
3,105,66
3,21,68
4,106,49
7,47,24
4,63,48
5,31,40
7,21,26
1,110,131
5,13,33
130,36,2
1,49,131
2,127,131
8,116,22
6,82,28
121,30,3
123,31,3
1,80,131
6,43,27
5,51,40
1,67,131
120,46,2
5,18,40
4,81,45
121,26,3
125,47,2
8,48,21
7,72,22
7,7,27
3,37,68
4,56,49
1,96,131
5,115,34
121,14,8
5,101,33
7,73,23
8,52,20
7,57,30
122,13,9
8,94,29
8,100,25
124,12,12
1,113,131
5,85,33
3,31,66
5,122,38
8,119,24
124,42,2
5,28,40
2,103,131
121,15,8
2,24,131
6,59,28
123,16,7
127,49,2
123,20,5
122,4,72
7,58,23
4,58,44
8,49,23
1,134,131
3,125,66
5,72,36
7,64,23
4,14,44
121,21,4
4,99,45
5,50,35
7,88,23
125,28,3
121,37,3
122,42,3
4,94,44
7,112,23
8,22,21
4,75,46
5,26,40
8,61,20
6,54,28
5,80,33
3,23,70
121,11,12
1,91,131
8,39,24
6,84,31
3,132,66
5,52,43
7,111,22
3,97,68
123,43,2
6,86,28
6,39,33
7,107,23
7,106,23
7,25,22
7,44,23
3,39,66
4,98,45
8,124,22
130,15,7
4,36,47
7,91,27
8,73,22
128,44,2
3,25,68
2,108,131
128,13,10
8,45,25
5,125,33
4,52,48
6,35,30
3,128,66
8,56,21
121,38,2
6,17,27
2,12,131
7,128,24
4,13,45
5,119,37
4,80,48
2,102,131
124,48,2
5,22,40
130,24,5
5,61,33
7,96,23
8,90,22
123,13,8
129,35,2
1,38,131
5,121,34
1,111,131
3,90,67
124,19,5
2,6,131
2,123,131
3,94,70
129,25,3
7,14,22
4,83,50
4,112,44
7,94,22
5,111,36
128,36,3
3,9,67
8,17,19
120,41,3
3,73,67
7,93,25
2,84,131
4,97,53
8,44,20
7,122,22
126,39,2
3,55,66
3,133,66
1,115,131
6,133,31
6,50,29
7,110,28
5,77,41
3,22,68
4,78,44
120,44,2
6,26,28
3,60,67
127,13,11
5,100,41
5,134,33
5,58,37
6,101,34
8,60,23
127,6,31
3,119,68
1,41,131
5,32,39
6,38,27
5,47,34
6,47,27
121,45,2
5,89,33
8,83,19
2,55,131
5,79,37
3,58,72
124,31,2
6,57,28
7,127,27
120,45,2
124,46,2
1,90,131
7,83,28
123,22,5
129,6,32
5,54,36
6,52,27
4,116,45
5,73,35
121,40,2
7,123,23
